query_name,fastest_total_time_s,fastest_planning_time_s,fastest_execution_time_s,fastest_source,status,total_time_all_three,total_time_ce_jn,total_time_cm_jn,total_time_jn
q10-007.sql,0.22240699999999997,0.044362,0.17804499999999998,ce_jn,success,0.24427400000000002,0.22240699999999997,0.23439500000000002,0.24635700000000002
q10-008.sql,0.24086,0.0446,0.19626,ce_jn,success,0.254897,0.24086,0.247656,0.24924600000000002
q10-009.sql,0.169718,0.044717,0.125001,ce_jn,success,0.183073,0.169718,0.17699299999999998,0.17329
q10-010.sql,0.329354,0.04468,0.284674,ce_jn,success,0.35099300000000005,0.329354,0.33797800000000006,0.39525099999999996
q11-001.sql,1.465845,0.001597,1.464248,cm_jn,success,1.500486,1.676383,1.465845,1.4750550000000002
q11-002.sql,0.042222,0.002063,0.040159,jn,success,0.047705,0.050616,0.044902000000000004,0.042222
q11-003.sql,0.06158,0.000834,0.060746,jn,success,0.070499,0.077073,0.066752,0.06158
q11-004.sql,1.208746,0.001818,1.206928,jn,success,1.293655,1.27436,1.331132,1.208746
q11-005.sql,0.047107,0.001814,0.045293,all_three,success,0.047107,0.058276,0.049219,0.057329000000000005
q11-006.sql,0.448191,0.000799,0.447392,ce_jn,success,0.472668,0.448191,0.5490079999999999,0.5083890000000001
q11-007.sql,0.167591,0.0009559999999999999,0.16663499999999998,cm_jn,success,0.208918,0.179885,0.167591,0.19535599999999997
q11-008.sql,0.105822,0.000901,0.104921,cm_jn,success,0.127082,0.124501,0.105822,0.12181900000000001
q11-009.sql,0.032965,0.000929,0.032036,ce_jn,success,0.072017,0.032965,0.07159599999999999,0.035323
q11-010.sql,0.190936,0.000782,0.190154,ce_jn,success,0.215556,0.190936,0.195946,0.245042
q12-001.sql,0.9826590000000001,0.009281000000000001,0.9733780000000001,jn,success,1.169712,1.008937,1.164436,0.9826590000000001
q12-002.sql,0.079042,0.007253,0.071789,ce_jn,success,0.42742199999999997,0.079042,0.10690999999999999,0.079449
q12-003.sql,0.108009,0.0049299999999999995,0.10307899999999999,jn,success,0.62618,0.111838,0.125688,0.108009
q12-004.sql,0.643179,0.008291999999999999,0.634887,jn,success,1.7472960000000002,0.665321,0.746374,0.643179
q12-005.sql,0.038216,0.005284,0.032932,jn,success,0.09618,0.039878,0.038662,0.038216
q12-006.sql,0.624894,0.0047480000000000005,0.620146,ce_jn,success,3.4602209999999998,0.624894,1.0504650000000002,0.8690610000000001
q12-007.sql,0.29702500000000004,0.008811,0.288214,jn,success,0.376061,0.30588699999999996,0.30032,0.29702500000000004
q12-008.sql,0.502916,0.008872,0.494044,cm_jn,success,0.9818749999999999,0.5132,0.502916,0.578714
q12-009.sql,0.936341,0.008955999999999999,0.927385,ce_jn,success,1.12922,0.936341,0.957808,0.962029
q12-010.sql,6.001007,0.007977,5.99303,jn,success,10.433375999999999,6.17574,7.341646,6.001007
q13-001.sql,0.506099,0.045363999999999995,0.460735,jn,success,0.9115580000000001,0.551117,0.884174,0.506099
q13-002.sql,6.438231999999999,0.043716,6.394515999999999,jn,success,7.5694989999999995,24.280993,7.548074000000001,6.438231999999999
q13-003.sql,1.5276429999999999,0.040369999999999996,1.4872729999999998,jn,success,9.5499,12.255991999999999,9.423535000000001,1.5276429999999999
q13-004.sql,4.201263,0.040944,4.160319,jn,success,43.874381,60.0,49.919767,4.201263
q13-005.sql,60.0,0.0,60.0,all_three,error,60.0,60.0,60.0,60.0
q13-006.sql,7.773873,0.050775,7.723098,ce_jn,success,33.718177,7.773873,33.729364000000004,11.297535
q13-007.sql,1.9038920000000001,0.046433999999999996,1.857458,cm_jn,success,2.537496,2.966873,1.9038920000000001,2.932554
q13-008.sql,2.777739,0.049554,2.728185,jn,success,16.722386,2.809535,16.888896,2.777739
q13-009.sql,19.549097,0.04377,19.505327,cm_jn,success,58.683486,48.611964,19.549097,53.253839
q13-010.sql,0.21606999999999998,0.045328,0.17074199999999998,ce_jn,success,0.500333,0.21606999999999998,0.495673,0.257145
q14-001.sql,60.0,0.0,60.0,all_three,error,60.0,60.0,60.0,60.0
q14-002.sql,0.7249140000000001,0.023889,0.701025,cm_jn,success,0.726757,1.7651370000000002,0.7249140000000001,1.806767
q14-003.sql,60.0,0.0,60.0,all_three,error,60.0,60.0,60.0,60.0
q14-004.sql,3.6599649999999997,0.023832,3.6361329999999996,jn,success,4.121468,5.951547,3.997788,3.6599649999999997
q14-005.sql,0.53285,0.021115,0.511735,jn,success,0.6580469999999999,0.5526650000000001,0.5979539999999999,0.53285
q14-006.sql,60.0,0.0,60.0,all_three,error,60.0,60.0,60.0,60.0
q14-007.sql,60.0,0.0,60.0,all_three,error,60.0,60.0,60.0,60.0
q14-008.sql,0.157532,0.01934,0.138192,jn,success,0.169383,0.158325,0.18551900000000002,0.157532
